Course Code, Course Name,Unnamed: 2
HIS 3021,History of Modern Asian Civilization,
HIS 3025,History of Kenya,
LIT 3330,Literature for Children & Adolescents,
LIT 3340,Myths Rituals & Archetypes, 
LIT 3351,Masterpieces of World Literature,
LIT 4785,African Authors Seminar,
LIT 4815,Oral Literature,
PHL 3309,Major Figures in Philosophy,
PHL 3310,Ethics and Value Theory,
PSY 3135,Psychology of Communication,
PSY 3150,Courtship & Marriage,
SOC 3301,Social Problems,
SOC 3310,Family & Kinship in a Multicultural Context,
SOC 3500,Social Conflict & Resolution,
IST 2040,Information Systems and Application,
ACT 2010,Principles of Accounting II,
IBA 4010,International Business Operations,
IBA 4020,International Economics and Trade,
IBA 4080,Business Process Management,
IBA 4005,Project Management,
IBA 4015,Supply Chain Management,
ENT 4020,Management of Entrepreneurial Ventures,
FIN 4030,Investments,
ACT 3010,Accounting Information Systems,
ACT 4010,Managerial Accounting,
ACT 4020,Financial Accounting I,
ACT 4030,Financial Accounting II,
ACT 4040,Cost Accounting,
ACT 4050,International Accounting,
ACT 4060,Taxation I,
ACT 4070,Auditing,
ACT 4120,Auditing &Investigations,
ACT 4130,Forensic Accounting,
BUS 4000,Corporate Law,
FIN 4010,International Managerial Finance,
FIN 4020,Corporate Finance,
FIN 4040,Money and Capital Markets,
FIN 4050,Financial Information Systems,
FIN 4060,Financial Management in the Public Sector,
FIN 4110,Portfolio and Derivatives Management,
FIN 4120,Pensions and Insurance,
FIN 4130,Financial Analysis and Reporting,
FIN 4140,Emerging Issues in Finance,
FIN 4150,Financial Modeling,
FIN 4210,Real Estate Portfolio Management,
FIN 4220,Real Estate Investment Analysis,
FIN 4230,Real Estate Economics,
FIN 4240,Property Law,
FIN 4250,Real Estate Management Consultancy,
ECO 4010,Intermediate Micro-economics,
ECO 4020,Intermediate Macro-economics,
ECO 4030,Economic Development,
ECO 4040,Public Finance,
ECO 4050,Health Finance and Economics,
GLG1010,Introduction to Leadership and Governance,
GLG2010,Psychology of Leadership,
GLG2000,Marketing for Business Leaders,
GLG3010,Leadership and Organizational Behavior,
GLG2080,Human Rights and Labour Relations,
GLG3020,Policy Formulation and Analysis,
GLG4030,Communication and Conflict Management,
GLG4090,Global Leadership and Management of change,
GLG4020,Sustainable Social Entrepreneurship,
GLG4015,Constitutional and Administrative Law,
GLG4075,Politics and Administration,
GLG4080,Global Leadership and Democracy,
GLG4085,Advocacy and Lobbying,
GLG4040,Board Leadership and Governance,
GLG4045,Risk Management,
MGT4050,Total Quality Management,
MGT4040,Human Resource Management,
MBA 6000,Organizational Behaviour,
MOD 6000,Managerial Accounting for Non Accountants,
FIN 6000,Managerial Finance,
MKT 6000,Managerial Marketing,
BUS5010,Survey of Accounting,
BUS5020,Survey of Finance,
BUS5030,Survey of Marketing,
BUS5040,Survey of Prod & Oper. Mgmt,
BUS5050,Survey of Economics,
BUS5060,Survey of Legal Env. of Business,
BUS5070,Survey of Management Practice,
BUS5080,Survey of Information Systems,
BUS5090,Survey of Business Statistics,
BUS5100,Survey of Bus. Communications,
BUS5110,Computer Application Skills,
